rank,feature,mean_abs_shap_value
148,Route Las Ewr,0.0008954405700302059
149,Route Slc Iah,0.0008875374639524265
150,Route Mia Gsp,0.0008863874693444284
151,Route Cos Den,0.0008704223073432712
152,Route Lax Las,0.0008671447499148835
153,Route Crp Hou,0.0008388876437480212
154,Route Tpa Acy,0.0008343807294673338
155,Route Ase Ord,0.0008320942799532162
156,Dest State Abr Ks,0.0008261741598818817
157,Route Mci Mdw,0.0008193533805654078
158,Route Msp Jfk,0.000808740853516239
159,Route Atl Mia,0.0008069329658229653
160,Route Grr Ord,0.0007820404959196244
161,Route Lax Ewr,0.0007758736010513507
162,Route Den Sbp,0.0007751186082128543
163,Route Atl Rsw,0.0007746382840612043
164,Route Lax Bos,0.0007694866595382732
165,Route Eyw Ord,0.0007687760217279918
166,Route Bna Dfw,0.0007617089702178102
167,Route Anc Fai,0.0007571344595429518
168,Route Buf Mdw,0.0007445245586392634
169,Route Lax Slc,0.0007309279451627287
170,Route Ewr San,0.000723472804054352
171,Route Lih Hnl,0.000718412238020043
172,Route Las Cle,0.0007101869288795955
173,Origin State Abr Wi,0.0006907935250313231
174,Route Sfo Iah,0.0006859652263538998
175,Route Dfw Swo,0.0006825937862009193
176,Route Dtw Mci,0.0006780588058569888
177,Route Slc Sfo,0.0006754968737452199
178,Route Lit Den,0.0006743301692888169
179,Route Stl Atl,0.0006708351624254182
180,Route Sbp Den,0.0006667364781681035
181,Route Mia Atl,0.000659787598928576
182,Origin State Abr Vi,0.0006579576562898289
183,Route Atl Atw,0.0006418686376218611
184,Route Tys Den,0.0006352714222600826
185,Route Dro Den,0.0006348328653120982
186,Route Acv Sfo,0.0006247674141598279
187,Route Ord Bzn,0.0006245644120960649
188,Route Stt Mia,0.0006232252184072341
189,Route Sna Ewr,0.0006150703701887674
190,Route Iad Bdl,0.0006126711980046523
191,Route Tul Dal,0.0006100180782685651
192,Route Mia Jfk,0.0006027205277355287
193,Route Cle Mdw,0.0005985454743154657
194,Route Row Dfw,0.0005948820419742206
195,Origin State Abr Al,0.0005938574216406165
196,Route Las Dfw,0.0005893034761892285
197,Route Phx Mia,0.0005861769298687778
198,Route Sat Phx,0.0005786166061648497
199,Route Mia Pns,0.0005721138794767795
200,Route Cou Ord,0.0005703298809257481
201,Route Phx Slc,0.0005640953201250338
202,Route Abi Dfw,0.0005549045859281845
203,Route Dfw Mke,0.0005542902792982794
204,Route Fsd Dfw,0.0005481369336290933
205,Origin State Abr Tt,0.000548107290641236
206,Route Iah Jfk,0.0005474295699969558
207,Route Dfw Dca,0.000539859926783236
208,Route Pwm Atl,0.0005364276883596292
